Species,year,Total weight ,Proportion,Annual Sum
REDFISH UNSEPARATED,2009,9193.172,0.320695095,28666.3942
SILVER HAKE,2009,1821.008,0.063524139,28666.3942
SPINY DOGFISH,2009,15.52,0.0005414,28666.3942
"TURBOT,GREENLAND HALIBUT",2009,395.371,0.013792143,28666.3942
WHITE HAKE,2009,259.732,0.009060505,28666.3942
WITCH FLOUNDER,2009,681.3102,0.023766861,28666.3942
YELLOWTAIL FLOUNDER,2009,850.902,0.02968291,28666.3942
AMERICAN PLAICE,2010,775.677,0.027536915,28168.624
COD(ATLANTIC),2010,2165.535,0.076877557,28168.624
HADDOCK,2010,5287.907,0.187723298,28168.624
HALIBUT(ATLANTIC),2010,539.692,0.019159331,28168.624
HERRING(ATLANTIC),2010,2151.172,0.076367664,28168.624
NORTHERN SAND LANCE,2010,208.547,0.007403521,28168.624
REDFISH UNSEPARATED,2010,12799.204,0.454378034,28168.624
SILVER HAKE,2010,2035.317,0.072254754,28168.624
SPINY DOGFISH,2010,7.194,0.000255391,28168.624
"TURBOT,GREENLAND HALIBUT",2010,670.646,0.023808263,28168.624
WHITE HAKE,2010,322.212,0.011438684,28168.624
WITCH FLOUNDER,2010,346.922,0.012315902,28168.624
YELLOWTAIL FLOUNDER,2010,858.599,0.030480687,28168.624
AMERICAN PLAICE,2011,594.149,0.031591,18807.5402
COD(ATLANTIC),2011,1859.389,0.098864018,18807.5402
HADDOCK,2011,2093.209,0.111296266,18807.5402
HALIBUT(ATLANTIC),2011,304.039,0.016165804,18807.5402
HERRING(ATLANTIC),2011,1354.504,0.0720192,18807.5402
NORTHERN SAND LANCE,2011,298.467,0.015869539,18807.5402
REDFISH UNSEPARATED,2011,8288.0652,0.440677787,18807.5402
SILVER HAKE,2011,2322.875,0.123507645,18807.5402
SPINY DOGFISH,2011,4.39,0.000233417,18807.5402
"TURBOT,GREENLAND HALIBUT",2011,301.908,0.016052498,18807.5402
WHITE HAKE,2011,285.258,0.015167215,18807.5402
WITCH FLOUNDER,2011,329.337,0.017510902,18807.5402
YELLOWTAIL FLOUNDER,2011,771.95,0.041044708,18807.5402
AMERICAN PLAICE,2012,343.691,0.030975183,11095.689
COD(ATLANTIC),2012,409.075,0.036867922,11095.689
HADDOCK,2012,2177.308,0.196230085,11095.689
HALIBUT(ATLANTIC),2012,224.673,0.020248675,11095.689
HERRING(ATLANTIC),2012,1170.855,0.105523415,11095.689
NORTHERN SAND LANCE,2012,262.373,0.023646391,11095.689
REDFISH UNSEPARATED,2012,3156.965,0.284521763,11095.689
SILVER HAKE,2012,2391.219,0.215508834,11095.689
"TURBOT,GREENLAND HALIBUT",2012,173.048,0.015595967,11095.689
WHITE HAKE,2012,97.353,0.008773948,11095.689
WITCH FLOUNDER,2012,208.858,0.018823347,11095.689
YELLOWTAIL FLOUNDER,2012,480.271,0.043284468,11095.689
AMERICAN PLAICE,2013,886.3,0.077433469,11445.955
COD(ATLANTIC),2013,516.587,0.045132713,11445.955
HADDOCK,2013,3260.797,0.284886407,11445.955
HALIBUT(ATLANTIC),2013,303.796,0.026541778,11445.955
HERRING(ATLANTIC),2013,1932.449,0.168832483,11445.955
NORTHERN SAND LANCE,2013,99.912,0.008729023,11445.955
REDFISH UNSEPARATED,2013,1695.152,0.14810053,11445.955
SILVER HAKE,2013,1461.704,0.127704853,11445.955
SPINY DOGFISH,2013,13.954,0.001219121,11445.955
"TURBOT,GREENLAND HALIBUT",2013,146.91,0.012835102,11445.955
WHITE HAKE,2013,124.915,0.010913462,11445.955
WITCH FLOUNDER,2013,242.331,0.021171759,11445.955
YELLOWTAIL FLOUNDER,2013,761.148,0.0664993,11445.955
AMERICAN PLAICE,2014,144.664,0.010396837,13914.232
COD(ATLANTIC),2014,1375.311,0.098842035,13914.232
HADDOCK,2014,2738,0.19677694,13914.232
HALIBUT(ATLANTIC),2014,289.734,0.020822852,13914.232
HERRING(ATLANTIC),2014,1239.814,0.08910402,13914.232
NORTHERN SAND LANCE,2014,79.74,0.005730823,13914.232
REDFISH UNSEPARATED,2014,4733.446,0.340187371,13914.232
SILVER HAKE,2014,1923.982,0.138274394,13914.232
SPINY DOGFISH,2014,398.17,0.028616024,13914.232
"TURBOT,GREENLAND HALIBUT",2014,110.683,0.007954661,13914.232
WHITE HAKE,2014,119.028,0.008554407,13914.232
WITCH FLOUNDER,2014,132.482,0.00952133,13914.232
YELLOWTAIL FLOUNDER,2014,629.178,0.045218306,13914.232
AMERICAN PLAICE,2015,260.212,0.027992336,9295.83
COD(ATLANTIC),2015,333.823,0.035911048,9295.83
HADDOCK,2015,1170.001,0.125862994,9295.83
HALIBUT(ATLANTIC),2015,338.474,0.03641138,9295.83
HERRING(ATLANTIC),2015,1973.148,0.212261627,9295.83
NORTHERN SAND LANCE,2015,421.46,0.045338609,9295.83
REDFISH UNSEPARATED,2015,2235.898,0.240526989,9295.83
SILVER HAKE,2015,1377.839,0.148221192,9295.83
SPINY DOGFISH,2015,50.13,0.005392741,9295.83
"TURBOT,GREENLAND HALIBUT",2015,119.166,0.012819296,9295.83
WHITE HAKE,2015,309.975,0.033345597,9295.83
WITCH FLOUNDER,2015,185.856,0.019993481,9295.83
YELLOWTAIL FLOUNDER,2015,519.848,0.055922709,9295.83
AMERICAN PLAICE,2016,156.108,0.009141458,17076.92557
COD(ATLANTIC),2016,1056.104,0.061843919,17076.92557
HADDOCK,2016,1755.986,0.102827994,17076.92557
HALIBUT(ATLANTIC),2016,502.832,0.029445113,17076.92557
HERRING(ATLANTIC),2016,2177.742,0.127525414,17076.92557
NORTHERN SAND LANCE,2016,347.179,0.020330299,17076.92557
REDFISH UNSEPARATED,2016,7816.392571,0.457716615,17076.92557
SILVER HAKE,2016,1518.884,0.088943645,17076.92557
SPINY DOGFISH,2016,433.724,0.025398249,17076.92557
"TURBOT,GREENLAND HALIBUT",2016,150.513,0.008813823,17076.92557
WHITE HAKE,2016,307.803,0.018024497,17076.92557
WITCH FLOUNDER,2016,333.177,0.019510362,17076.92557
YELLOWTAIL FLOUNDER,2016,520.481,0.030478613,17076.92557
AMERICAN PLAICE,2017,238.288,0.024687935,9652.002
COD(ATLANTIC),2017,674.994,0.069933056,9652.002
HADDOCK,2017,1848.607,0.191525758,9652.002
HALIBUT(ATLANTIC),2017,527.766,0.054679433,9652.002
HERRING(ATLANTIC),2017,1592.016,0.164941532,9652.002
NORTHERN SAND LANCE,2017,554.517,0.057450983,9652.002
REDFISH UNSEPARATED,2017,1721.489,0.178355641,9652.002
SILVER HAKE,2017,936.517,0.097028264,9652.002
SPINY DOGFISH,2017,398.926,0.041330907,9652.002
SWORDFISH,2017,200,0.02072109,9652.002
"TURBOT,GREENLAND HALIBUT",2017,120.212,0.012454618,9652.002
WHITE HAKE,2017,228.526,0.023676539,9652.002
WITCH FLOUNDER,2017,221.171,0.022914521,9652.002
YELLOWTAIL FLOUNDER,2017,388.973,0.040299722,9652.002
