species,w_inf,w_mat,w_min,f0,X.beta,sigma,k_vb,fishing_mortality,alpha,interaction_resource,n,p,q,pred_kernel_type,beta,h,k,ks,z0,gamma,w_mat25,m,erepro,R_max
SILVER HAKE,1859.306549,464.8266372,0.001,0.6,100,1.3,0.421375,0.180181818,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,40.51192193,0,3.961451953,0.048794131,1.44E-10,416.465358,1,1,INF
NORTHERN SAND LANCE,47.71573707,11.92893427,0.001,0.6,100,1.3,0.35,0,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,9.6152294,0,1.062317106,0.165423563,3.41E-11,10.68782958,1,1,INF
HALIBUT(ATLANTIC),85574.8983,21393.72457,0.001,0.6,100,1.3,0.0803375,0.196181818,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,27.94086736,0,2.404796049,0.013615569,9.90E-11,19167.88852,1,1,INF
WHITE HAKE,18066.17807,4516.544517,0.001,0.6,100,1.3,0.162,0,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,33.46636069,0,3.033631722,0.022866296,1.19E-10,4046.636269,1,1,INF
