species,gear,sel_func,knife_edge_size,catchability
HADDOCK,HADDOCK,knife_edge,1125.609951,1
REDFISH UNSEPARATED,REDFISH UNSEPARATED,knife_edge,4994.996288,1
HERRING(ATLANTIC),HERRING(ATLANTIC),knife_edge,7096001.257,1
COD(ATLANTIC),COD(ATLANTIC),knife_edge,283385.3139,1
SPINY DOGFISH,SPINY DOGFISH,knife_edge,330416705.6,1
YELLOWTAIL FLOUNDER,YELLOWTAIL FLOUNDER,knife_edge,54180.56691,1
AMERICAN PLAICE,AMERICAN PLAICE,knife_edge,247726.341,1
WITCH FLOUNDER,WITCH FLOUNDER,knife_edge,595419.05,1
"TURBOT,GREENLAND HALIBUT","TURBOT,GREENLAND HALIBUT",knife_edge,228421046.5,1
