"","x"
"1",23.2252414506851
"2",18.0004942696262
"3",21.0102666561682
"4",24.7155331311851
"5",22.7629877725924
"6",22.6287379023187
"7",24.1012975386755
"8",21.3731399858953
"9",27.0336883043319
