"","species","w_inf","w_mat","w_min","f0","X.beta","sigma","k_vb","fishing_mortality","alpha","interaction_resource","n","p","q","pred_kernel_type","beta","h","k","ks","z0","gamma","w_mat25","m","erepro","R_max"
"HADDOCK","HADDOCK",3220.889544,805.222386,0.001,0.6,100,1.3,0.2629333,0.016422208,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,30.4264160046076,0,2.92124635537061,0.0406280495273124,1.08731240587621e-10,721.445808789864,1,1,-515317111.959995
"REDFISH UNSEPARATED","REDFISH UNSEPARATED",3833.470217,958.3675544,0.001,0.6,100,1.3,0.13733333,0.006625,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,16.8520435749645,0,1.60860500662687,0.0383372143036126,6.02221307979571e-11,858.657518001582,1,1,10329020421.4448
"HERRING(ATLANTIC)","HERRING(ATLANTIC)",282.7901464,70.69753661,0.001,0.6,100,1.3,0.3549758,0.173727273,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,18.0092117500248,0,1.87512032437851,0.0914105859471218,6.43573641827818e-11,63.3420560156315,1,1,13989768854.4277
"COD(ATLANTIC)","COD(ATLANTIC)",17573.85428,4393.46357,0.001,0.6,100,1.3,0.1853738,0.00806,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,37.9417722456028,0,3.44248421716935,0.0230778622486314,1.35587969537149e-10,3936.3608535437,1,1,-5855067.30857235
"SPINY DOGFISH","SPINY DOGFISH",4499.162893,1124.790723,0.001,0.6,100,1.3,0.1145,0.065976111,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,14.8283630986734,0,1.40790083707818,0.0363446656537375,5.29903461307535e-11,1007.76576382226,1,1,12662583944.0461
"YELLOWTAIL FLOUNDER","YELLOWTAIL FLOUNDER",683.0020313,170.7505078,0.001,0.6,100,1.3,0.335,0.104111111,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,22.9469967755314,0,2.32003765591301,0.0681308674739365,8.20029354356371e-11,152.985361985516,1,1,6085451009.22541
"AMERICAN PLAICE","AMERICAN PLAICE",1683.782457,420.9456142,0.001,0.6,100,1.3,0.1196154,0.075991801,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,11.1212923246861,0,1.09109433976152,0.0504339043279106,3.9742831072105e-11,377.149784175356,1,1,9790228566.69439
"WITCH FLOUNDER","WITCH FLOUNDER",1261.934324,315.483581,0.001,0.6,100,1.3,0.2173125,0.117554545,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,18.3277893529292,0,1.81548266057215,0.0555229244359007,6.5495826825966e-11,282.660183337808,1,1,12131253864.8376
"TURBOT,GREENLAND HALIBUT","TURBOT,GREENLAND HALIBUT",4071.223783,1017.805946,0.001,0.6,100,1.3,0.0776,0.105481158,0.6,1,0.666666666666667,0.7,0.716666666666666,"lognormal",30,9.71712220705403,0,0.925685394025011,0.037575917363581,3.47249164132413e-11,911.91184779493,1,1,9074397922.41175
