"","Year","MainSpecies","sum"
"159",1978,"herring",4672.16666666667
"160",1979,"herring",1374.33333333333
"161",1980,"herring",3978.75
"162",1981,"herring",5948.75
"163",1982,"herring",2881.5
"164",1983,"herring",2852.2
"165",1984,"herring",1412.25
"166",1985,"herring",2317.8
"167",1986,"herring",2686.2
"168",1987,"herring",2706.25
"169",1988,"herring",1512
"170",1989,"herring",2453
"171",1990,"herring",2647.75
"172",1991,"herring",1417.5
"173",1992,"herring",1639.8
"174",1993,"herring",1020.5
"175",1994,"herring",588.888888888889
"176",1995,"herring",308.115384615385
"177",1996,"herring",513.871794871795
"178",1997,"herring",840.9375
"179",1998,"herring",356.185185185185
"180",1999,"herring",507.296296296296
"181",2000,"herring",200.625
"182",2001,"herring",261.529411764706
"183",2002,"herring",737.411764705882
"184",2004,"herring",453.818181818182
"185",2005,"herring",489.588235294118
"186",2006,"herring",357.375
"187",2007,"herring",357.388888888889
"188",2010,"herring",729
"189",2011,"herring",861.142857142857
"190",2012,"herring",102.722222222222
"191",2015,"herring",201.5625
"192",2016,"herring",177
"193",1970,"redfish",161.668421052632
"194",1971,"redfish",290.467005076142
"195",1972,"redfish",270.403141361257
"196",1973,"redfish",192.751196172249
"197",1974,"redfish",197.034042553191
"198",1975,"redfish",232.824390243902
"199",1976,"redfish",167.666666666667
"200",1977,"redfish",210.880952380952
"201",1978,"redfish",226.212290502793
"202",1979,"redfish",178.329896907216
"203",1980,"redfish",198.75935828877
"204",1981,"redfish",270.115606936416
"205",1982,"redfish",193.357142857143
"206",1983,"redfish",144.430555555556
"207",1984,"redfish",77.0259067357513
"208",1985,"redfish",110.881188118812
"209",1986,"redfish",79.8379446640316
"210",1987,"redfish",133.836120401338
"211",1988,"redfish",127.007874015748
"212",1989,"redfish",115.153225806452
"213",1990,"redfish",101.760162601626
"214",1991,"redfish",160.626556016598
"215",1992,"redfish",188.157894736842
"216",1993,"redfish",184.459893048128
"217",1994,"redfish",195.379807692308
"218",1995,"redfish",169.716216216216
"219",1996,"redfish",107.537037037037
"220",1997,"redfish",131.70652173913
"221",1998,"redfish",115.746031746032
"222",1999,"redfish",149.682352941176
"223",2000,"redfish",128.263157894737
"224",2001,"redfish",155.039473684211
"225",2002,"redfish",112.926829268293
"226",2003,"redfish",93.6190476190476
"227",2004,"redfish",4.33333333333333
"228",2005,"redfish",7.75
"229",2006,"redfish",52.2285714285714
"230",2007,"redfish",17.1315789473684
"231",2008,"redfish",41.5217391304348
"232",2009,"redfish",242.583333333333
"233",2010,"redfish",142.08
"234",2011,"redfish",61.8947368421053
"235",2012,"redfish",12.1428571428571
"236",2013,"redfish",40.2
"237",2016,"redfish",0
"238",1974,"silver hake",31.3333333333333
"239",1975,"silver hake",300.85
"240",1976,"silver hake",1331.09090909091
"241",1977,"silver hake",136.588235294118
"242",1978,"silver hake",179.41935483871
"243",1979,"silver hake",2342.72222222222
"244",1980,"silver hake",1767.49019607843
"245",1981,"silver hake",1646.1914893617
"246",1982,"silver hake",1135.48648648649
"247",1983,"silver hake",845.780821917808
"248",1984,"silver hake",1477.13157894737
"249",1985,"silver hake",2249.21428571429
"250",1986,"silver hake",2801.56818181818
"251",1987,"silver hake",1960.0612244898
"252",1988,"silver hake",2363.875
"253",1989,"silver hake",1646.50632911392
"254",1990,"silver hake",1637.97297297297
"255",1991,"silver hake",1176.34782608696
"256",1992,"silver hake",457.314285714286
"257",1993,"silver hake",631
"258",1994,"silver hake",734.103448275862
"259",1995,"silver hake",950.235294117647
"260",1996,"silver hake",811.340425531915
"261",1997,"silver hake",697.5
"262",1998,"silver hake",581.742424242424
"263",1999,"silver hake",651
"264",2000,"silver hake",559.739130434783
"265",2001,"silver hake",444.877551020408
"266",2002,"silver hake",623.326086956522
"267",2003,"silver hake",84.5882352941177
"268",2004,"silver hake",87
"269",1992,"spiny dogfish",2
"270",1993,"spiny dogfish",2.33333333333333
"271",1994,"spiny dogfish",6
"272",1995,"spiny dogfish",2.5
"273",1997,"spiny dogfish",9
"274",1998,"spiny dogfish",10
"275",1999,"spiny dogfish",10.3125
"276",2000,"spiny dogfish",3.57142857142857
"277",2001,"spiny dogfish",21.1666666666667
"278",2002,"spiny dogfish",17.625
"279",1977,"turbot",54
"280",1978,"turbot",119.55
"281",1979,"turbot",158.333333333333
"282",1980,"turbot",20.45
"283",1981,"turbot",13.3333333333333
"284",1989,"turbot",1
"285",2000,"turbot",3.5
"286",2002,"turbot",2.6
"287",2012,"turbot",1.28571428571429
"288",2013,"turbot",0.111111111111111
"289",2016,"turbot",0.125
"290",1971,"white hake",233.0625
"291",1974,"white hake",166.9
"292",1977,"white hake",31.5
"293",1978,"white hake",40.6363636363636
"294",1979,"white hake",29.3703703703704
"295",1980,"white hake",38.3095238095238
"296",1981,"white hake",34.551724137931
"297",1982,"white hake",37.4285714285714
"298",1983,"white hake",21.7857142857143
"299",1984,"white hake",77.6315789473684
"300",1985,"white hake",21.25
"301",1986,"white hake",16.8170731707317
"302",1987,"white hake",19
"303",1988,"white hake",40.6
"304",1989,"white hake",31.025641025641
"305",1990,"white hake",31.5263157894737
"306",1991,"white hake",37.041095890411
"307",1992,"white hake",40.5571428571429
"308",1993,"white hake",34.1911764705882
"309",1994,"white hake",13.9607843137255
"310",1995,"white hake",37.2297297297297
"311",1996,"white hake",51.625
"312",1997,"white hake",17.5555555555556
"313",1998,"white hake",13.9787234042553
"314",1999,"white hake",19.9166666666667
"315",2000,"white hake",26
"316",2001,"white hake",23.9142857142857
"317",2002,"white hake",8.6
"318",2004,"white hake",2.27272727272727
"319",2005,"white hake",0.333333333333333
"320",2006,"white hake",1
"321",2008,"white hake",0
"322",2013,"white hake",0
"323",2014,"white hake",0
"324",1974,"witch flounder",56.4404761904762
"325",1975,"witch flounder",35.1846153846154
"326",1976,"witch flounder",23
"327",1977,"witch flounder",33.9772727272727
"328",1978,"witch flounder",72.5096153846154
"329",1979,"witch flounder",70.2297297297297
"330",1980,"witch flounder",60.5925925925926
"331",1981,"witch flounder",38.0857142857143
"332",1982,"witch flounder",25.3061224489796
"333",1983,"witch flounder",62.7209302325581
"334",1984,"witch flounder",61.5384615384615
"335",1985,"witch flounder",45.3650793650794
